1647537431.000000, 1647537431.000000, 1647537431.000000
32.000000, 32.000000, 32.000000
-26,-50,25
-29,-60,23
-25,-56,29
-4,-51,34
-2,-54,34
-15,-56,33
-5,-55,34
9,-53,34
8,-53,32
-4,-51,32
-11,-52,31
-11,-52,31
-11,-51,31
-8,-51,31
-3,-51,34
-3,-52,34
-9,-54,35
-11,-53,36
-7,-55,36
-4,-54,35
-2,-53,34
-3,-54,35
-3,-50,36
-5,-49,35
-12,-50,36
-9,-49,38
-3,-55,39
-5,-57,40
-14,-61,41
-4,-66,40
2,-65,40
-12,-56,31
-20,-48,28
6,-37,27
17,-35,30
11,-8,43
9,10,62
2,18,65
-11,27,52
-5,31,52
19,35,68
-7,15,57
-5,22,54
30,9,64
26,-2,63
32,14,68
37,10,68
18,10,56
15,9,51
21,5,44
30,3,13
29,9,8
47,-8,-13
87,-1,-10
65,8,-33
96,4,-38
105,10,-23
59,4,-40
56,3,-40
56,7,-31
47,4,-38
45,4,-43
46,9,-43
44,9,-43
41,11,-49
46,11,-43
48,10,-35
45,10,-41
44,6,-45
50,4,-43
56,8,-33
46,6,-39
64,10,-31
52,5,-29
36,17,-35
48,8,-29
55,7,-19
59,7,-23
49,5,-27
49,10,-17
62,-1,-22
61,2,-23
63,4,-24
65,3,-22
60,5,-23
54,6,-21
54,7,-5
61,5,-4
41,5,-6
66,-5,2
60,-6,-3
79,6,1
79,5,0
58,-10,-2
52,4,2
61,5,-3
73,0,-3
58,13,0
57,6,3
60,-4,4
61,-1,8
73,7,11
70,-7,5
61,5,10
63,2,13
66,3,12
60,4,7
64,1,12
62,-2,12
59,-4,12
55,-4,10
57,-5,13
53,4,17
58,-5,18
63,-5,14
69,14,17
60,-8,10
61,-2,12
66,12,12
58,-4,13
63,8,16
59,-1,14
62,5,17
56,-2,13
56,-4,16
57,-13,15
60,1,14
55,-6,10
59,-4,12
65,2,14
66,3,11
62,-1,7
62,0,8
65,0,13
62,0,17
55,2,14
64,3,26
56,3,21
64,6,29
49,11,31
56,4,33
50,8,31
48,13,34
51,10,36
48,12,36
43,7,36
42,7,43
45,9,43
37,10,44
37,10,46
52,17,43
40,1,42
36,3,41
38,5,43
36,2,44
53,5,41
48,3,38
65,-16,34
60,6,36
41,2,43
48,-4,52
56,-6,49
52,-12,36
35,-8,41
38,-9,48
46,-16,40
46,-8,42
45,-11,43
45,-10,42
48,-18,28
56,-8,46
55,-16,43
56,-2,40
48,-17,38
58,-10,45
44,-13,37
40,-15,34
37,-11,35
43,-14,35
48,-16,31
62,-15,29
49,-14,24
64,-9,29
60,-12,30
35,-11,29
71,-4,28
66,-15,14
50,-2,24
60,-16,19
68,-10,27
51,-9,26
47,-15,30
67,-21,22
52,-12,23
42,-22,21
45,-18,29
47,18,43
70,18,55
66,-7,34
49,-15,34
25,-9,44
33,-16,52
40,-15,52
22,-14,53
27,-15,54
19,-12,53
30,-12,55
12,-13,56
12,-14,54
24,-19,57
25,-21,58
31,-28,53
-25,0,56
10,-13,67
3,-10,65
5,-9,63
5,-9,66
-1,-8,62
2,-13,58
-7,-11,57
1,-14,55
4,-16,51
-14,-12,37
-15,-10,34
13,-18,37
51,-33,43
34,-24,44
38,-32,56
44,-49,68
31,-36,66
39,-27,58
45,-26,49
14,-13,51
21,-23,39
53,-24,12
72,-26,6
42,-17,-27
87,-21,-51
76,-19,-38
59,-12,-10
63,-22,-1
50,-22,-3
65,-32,11
71,-23,11
39,-17,-32
43,-17,-38
50,-13,-38
60,-24,-35
43,-7,-48
36,-15,-41
38,-17,-33
62,-28,-14
59,-38,-25
39,-38,-54
52,-34,-55
53,-32,-51
32,-31,-39
30,-29,-34
37,-27,-32
38,-28,-34
39,-29,-36
42,-29,-36
43,-29,-36
42,-28,-37
42,-28,-37
43,-30,-37
42,-30,-36
41,-30,-34
42,-29,-35
42,-29,-35
42,-29,-35
42,-29,-35
41,-29,-35
40,-29,-36
43,-30,-35
42,-30,-36
41,-30,-35
41,-30,-35
42,-31,-35
41,-31,-35
42,-32,-35
42,-32,-35
38,-32,-35
36,-33,-35
36,-29,-35
40,-28,-37
42,-25,-44
42,-21,-43
39,-24,-42
40,-25,-42
40,-25,-44
36,-27,-51
32,-25,-40
41,-23,-38
35,-27,-48
34,-28,-42
33,-25,-42
34,-21,-49
34,-26,-46
37,-19,-48
37,-19,-49
28,-22,-46
33,-21,-49
33,-22,-46
33,-22,-55
39,-22,-49
27,-23,-41
32,-21,-48
35,-23,-52
33,-24,-45
40,-29,-46
38,-26,-46
33,-26,-43
24,-22,-39
30,-26,-38
35,-31,-39
39,-30,-45
41,-33,-46
36,-33,-43
36,-33,-41
33,-33,-40
36,-32,-39
35,-31,-39
36,-31,-40
37,-31,-40
36,-31,-40
37,-32,-40
40,-32,-40
35,-32,-40
36,-33,-39
36,-31,-38
35,-32,-38
37,-30,-39
38,-31,-40
37,-31,-40
38,-31,-39
37,-30,-40
37,-31,-39
37,-32,-39
37,-31,-39
39,-32,-38
36,-30,-39
40,-32,-38
38,-31,-39
38,-31,-38
36,-30,-39
38,-31,-38
38,-30,-38
38,-31,-39
38,-31,-39
38,-30,-39
38,-31,-38
37,-30,-38
40,-31,-36
37,-30,-39
39,-30,-38
39,-30,-38
38,-30,-39
39,-31,-38
39,-30,-38
39,-31,-38
39,-31,-38
38,-31,-38
38,-31,-38
39,-31,-38
39,-31,-38
38,-31,-38
38,-31,-38
39,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
39,-31,-38
39,-31,-38
39,-31,-38
38,-31,-38
39,-31,-38
38,-31,-37
39,-31,-37
39,-31,-38
39,-31,-37
39,-31,-38
38,-31,-38
39,-31,-38
38,-31,-37
38,-31,-38
39,-31,-37
39,-31,-38
39,-31,-38
39,-31,-37
39,-31,-37
38,-31,-37
39,-31,-38
38,-31,-38
39,-31,-37
39,-31,-37
38,-32,-38
39,-31,-38
38,-31,-37
38,-31,-37
39,-31,-38
39,-31,-37
38,-31,-38
38,-31,-38
38,-32,-37
38,-31,-38
38,-31,-38
39,-31,-38
39,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
39,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
39,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
39,-31,-38
39,-31,-38
38,-32,-38
38,-32,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-38
38,-31,-37
38,-32,-38
39,-31,-38
38,-32,-38
38,-31,-38
38,-31,-38
38,-32,-38
38,-31,-37
38,-31,-38
38,-31,-38
39,-31,-38
38,-31,-37
39,-31,-38
39,-31,-38
39,-31,-38
38,-31,-38
39,-31,-37
39,-31,-37
39,-31,-38
39,-31,-37
39,-31,-38
39,-31,-38
39,-31,-37
38,-31,-37
39,-31,-37
39,-32,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
38,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-32,-37
39,-31,-38
39,-31,-37
38,-31,-37
39,-31,-37
39,-31,-37
39,-32,-37
39,-32,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
40,-31,-37
39,-31,-37
39,-31,-37
39,-31,-37
38,-31,-37
38,-31,-37
40,-31,-37
39,-30,-37
40,-30,-38
39,-30,-37
40,-30,-37
38,-30,-38
37,-30,-37
38,-30,-38
37,-30,-39
36,-29,-41
36,-28,-42
35,-29,-44
33,-28,-46
29,-27,-45
30,-27,-48
27,-26,-49
28,-26,-50
28,-25,-51
28,-25,-51
27,-26,-51
27,-26,-51
27,-26,-51
26,-26,-51
28,-25,-50
26,-26,-50
26,-26,-50
28,-26,-51
26,-26,-50
27,-25,-50
25,-27,-49
27,-27,-48
27,-28,-49
29,-29,-49
31,-28,-48
29,-28,-48
28,-28,-47
29,-28,-47
30,-28,-47
32,-27,-48
31,-27,-48
31,-29,-45
37,-28,-45
36,-28,-46
31,-30,-43
34,-29,-41
35,-29,-42
35,-29,-43
35,-29,-42
37,-29,-42
35,-29,-42
35,-29,-41
36,-30,-41
37,-30,-41
36,-29,-41
35,-29,-41
35,-29,-41
35,-29,-41
36,-30,-41
36,-30,-41
34,-31,-41
35,-32,-41
36,-32,-41
38,-32,-41
38,-32,-41
37,-31,-42
35,-30,-41
35,-31,-42
35,-31,-43
35,-31,-43
35,-31,-42
36,-31,-41
36,-31,-41
36,-31,-41
35,-30,-40
34,-30,-39
35,-30,-40
36,-31,-40
37,-31,-40
36,-31,-40
37,-30,-39
36,-30,-39
38,-30,-40
38,-30,-40
37,-30,-40
37,-30,-40
38,-30,-40
37,-30,-40
38,-30,-40
38,-30,-40
37,-29,-40
37,-29,-40
37,-29,-40
37,-29,-40
37,-30,-40
38,-30,-40
38,-30,-39
38,-30,-38
38,-30,-38
38,-31,-39
38,-31,-39
38,-30,-39
37,-30,-39
38,-30,-39
37,-30,-40
38,-30,-40
38,-30,-39
38,-30,-40
38,-30,-40
38,-30,-39
38,-30,-39
38,-30,-39
38,-30,-39
38,-31,-39
37,-31,-39
38,-31,-39
38,-31,-39
38,-30,-39
38,-30,-39
38,-30,-39
38,-30,-40
37,-30,-39
37,-30,-39
38,-30,-39
37,-30,-39
38,-30,-39
38,-30,-39
38,-30,-40
38,-30,-40
37,-30,-39
37,-30,-39
37,-30,-40
38,-30,-40
37,-30,-39
37,-30,-39
38,-30,-39
37,-30,-40
37,-30,-39
37,-31,-39
37,-31,-39
37,-32,-39
37,-31,-39
37,-31,-39
37,-31,-39
37,-31,-39
37,-31,-39
37,-31,-39
38,-30,-40
38,-30,-41
37,-30,-40
37,-30,-40
36,-30,-40
37,-31,-40
37,-31,-40
37,-31,-40
37,-31,-40
36,-31,-39
36,-32,-39
36,-32,-39
36,-32,-39
36,-32,-39
36,-32,-40
36,-31,-39
36,-31,-40
37,-31,-40
36,-31,-40
37,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-30,-40
37,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
36,-31,-40
37,-31,-40
36,-31,-40
37,-31,-40
36,-31,-40
37,-31,-40
37,-31,-40
36,-32,-39
37,-31,-40
36,-31,-40
36,-31,-39
36,-31,-40
36,-31,-40
37,-31,-40
37,-31,-39
37,-31,-40
37,-31,-40
37,-30,-40
37,-31,-40
37,-31,-40
37,-31,-40
37,-31,-40
37,-31,-40
37,-31,-40
36,-31,-39
36,-31,-39
37,-31,-39
37,-31,-40
38,-31,-40
37,-31,-40
37,-31,-39
37,-31,-40
37,-31,-40
38,-31,-40
37,-31,-39
37,-31,-39
37,-31,-39
37,-31,-39
37,-31,-39
38,-31,-41
39,-30,-41
40,-29,-43
42,-29,-45
54,-29,-45
106,-59,-23
41,-43,-34
48,-32,-14
47,-21,-19
48,-20,-34
55,-19,-29
70,-23,-23
59,-28,-13
55,-28,-5
66,-31,13
62,-32,18
34,-32,19
35,-32,24
25,-30,31
24,-34,35
25,-31,35
28,-23,38
31,-21,40
37,-20,41
37,-23,40
35,-22,40
34,-17,41
33,-16,40
37,-19,39
40,-22,39
43,-28,38
39,-31,38
42,-30,40
44,-30,40
43,-28,40
46,-25,40
43,-25,43
37,-23,44
41,-18,46
44,-18,48
39,-21,44
36,-17,42
39,-20,40
39,-19,41
33,-20,39
43,-19,48
50,-18,43
55,-18,33
43,-15,36
53,-15,35
52,-14,28
53,-11,28
58,-10,27
60,-10,23
72,-10,23
48,-11,20
52,-12,19
46,-10,15
52,-10,8
64,-16,5
69,-15,12
70,-16,2
63,-15,-6
61,-14,-14
58,-13,-11
57,-13,-14
63,-13,-14
55,-13,-17
53,-11,-19
58,-14,-23
58,-14,-27
55,-12,-22
58,-14,-20
69,-17,-21
65,-16,-25
55,-16,-26
59,-18,-5
56,-14,1
54,-15,-2
76,-22,16
51,-21,11
58,-14,18
64,-9,19
47,-19,29
30,-23,45
14,-24,16
68,-22,38
63,-20,45
41,-24,31
52,-23,33
49,-23,32
53,-25,29
54,-24,28
47,-21,27
46,-21,27
49,-22,26
49,-22,26
43,-22,28
47,-25,22
53,-25,24
52,-29,30
57,-30,29
53,-31,22
52,-30,23
54,-30,27
48,-29,26
48,-29,25
50,-29,25
48,-29,25
47,-29,23
52,-29,22
50,-29,21
55,-31,24
55,-31,23
52,-30,23
50,-30,21
50,-30,20
50,-30,21
51,-30,21
52,-31,21
51,-31,22
50,-30,20
48,-31,20
50,-31,21
50,-31,20
49,-31,20
50,-31,20
51,-31,21
49,-31,20
50,-31,20
51,-31,20
50,-30,20
50,-30,20
51,-30,20
50,-30,19
50,-30,19
51,-31,20
51,-31,20
49,-30,19
50,-31,19
52,-31,20
50,-31,20
49,-31,20
49,-31,21
50,-31,21
51,-31,20
49,-31,20
50,-32,20
49,-31,20
51,-31,20
51,-31,21
49,-30,20
50,-31,21
50,-31,21
50,-31,20
50,-31,20
51,-31,20
50,-31,20
50,-30,20
50,-31,20
50,-31,20
50,-31,20
50,-31,20
49,-31,20
50,-31,20
50,-31,20
50,-31,20
51,-31,21
50,-31,20
50,-31,21
51,-30,21
49,-32,20
50,-31,21
50,-31,20
50,-31,21
49,-31,21
51,-31,21
49,-31,21
49,-31,20
50,-30,21
50,-31,21
51,-31,21
50,-30,21
50,-30,21
50,-31,21
50,-31,21
50,-31,21
49,-30,21
50,-31,21
50,-30,21
50,-31,21
48,-32,22
50,-33,25
69,-44,36
75,-50,39
63,-63,36
74,-49,57
89,-40,45
120,-19,19
109,7,12
75,7,-25
32,19,-28
31,22,-30
17,14,-15
15,16,-11
2,24,1
2,24,4
17,35,11
10,32,2
16,42,4
33,50,8
34,47,5
11,61,-5
26,65,1
11,63,-3
4,65,-1
1,64,-2
19,61,7
17,59,9
19,59,9
19,59,3
16,65,-1
16,61,2
17,62,2
19,63,-3
18,64,1
10,63,3
9,65,-2
10,65,-2
7,66,-6
10,66,-2
13,65,-3
15,62,0
12,61,1
12,61,-3
13,63,-2
9,64,-4
10,63,-4
13,60,-2
16,60,-2
14,61,-3
12,64,-2
11,64,-2
7,66,-7
8,64,-2
8,63,-2
12,63,-4
10,62,-4
11,64,-4
12,64,-6
9,64,-9
9,63,-6
9,65,-9
15,67,-5
14,66,-5
12,61,-5
12,62,-6
12,63,-7
11,66,-9
13,65,-8
7,64,-6
11,64,-3
15,61,-3
13,59,0
11,60,-3
15,65,-6
13,65,-4
13,63,0
14,62,-1
16,60,1
19,58,-2
20,58,-3
10,61,-5
15,61,-2
12,65,-2
14,64,-6
19,64,-4
17,63,-4
19,62,-4
20,59,-4
18,61,-4
19,61,-7
21,63,-8
21,63,-6
19,61,-3
20,61,-2
17,62,-3
20,59,-4
18,59,-4
20,55,-2
19,52,1
14,47,8
12,43,9
5,37,-6
11,36,-6
13,34,-3
17,24,-19
24,21,-17
46,9,-5
49,2,-8
40,5,-8
68,-32,-7
70,-30,10
57,-33,14
77,-67,35
31,-53,31
26,-62,46
39,-65,58
11,-67,50
14,-73,47
17,-71,44
10,-73,36
9,-69,34
6,-63,26
9,-58,30
18,-58,32
7,-58,24
15,-56,27
5,-66,24
1,-67,16
25,-58,6
15,-58,16
14,-56,38
8,-53,47
10,-78,20
1,-67,8
34,-63,8
19,-53,4
15,-56,-1
0,-62,10
8,-64,16
6,-64,12
19,-61,2
10,-61,0
6,-62,1
5,-63,2
-1,-61,-1
13,-51,-7
47,-53,15
23,-65,12
14,-69,16
7,-67,13
5,-63,6
3,-64,3
3,-66,-5
8,-60,1
14,-64,5
13,-62,7
12,-63,5
12,-62,4
13,-62,3
10,-62,6
10,-63,6
10,-63,4
10,-62,4
11,-63,4
10,-63,5
8,-62,5
9,-63,4
11,-64,4
8,-62,4
9,-63,4
9,-64,6
8,-63,4
9,-64,5
8,-62,3
6,-62,4
7,-63,4
8,-63,4
9,-63,4
9,-63,4
8,-63,4
8,-63,4
8,-63,3
9,-63,4
8,-63,4
8,-63,3
9,-63,5
8,-63,5
9,-63,5
8,-62,3
8,-63,4
8,-63,5
9,-63,4
8,-62,4
8,-63,4
10,-64,5
8,-63,5
7,-62,3
8,-64,3
8,-62,4
8,-63,4
7,-62,3
7,-63,4
9,-63,5
8,-62,4
9,-63,5
7,-63,3
6,-62,3
7,-63,3
7,-63,4
10,-63,5
8,-63,4
7,-63,3
8,-63,4
9,-63,5
8,-63,4
8,-63,3
7,-63,3
6,-63,3
7,-63,4
6,-63,4
6,-63,3
7,-63,4
8,-63,4
6,-63,4
6,-63,3
6,-63,3
6,-63,4
5,-63,4
6,-63,4
5,-63,4
4,-63,3
5,-63,4
5,-63,4
6,-63,3
6,-64,4
5,-63,3
4,-63,2
3,-63,3
7,-63,4
7,-63,4
6,-64,3
6,-64,4
8,-64,5
5,-63,3
5,-63,3
4,-63,2
5,-63,3
6,-63,4
7,-63,4
7,-63,4
5,-63,3
6,-63,3
6,-64,3
6,-63,4
6,-64,4
5,-63,3
6,-63,4
7,-64,3
6,-63,3
6,-63,4
5,-63,3
6,-63,3
7,-63,4
6,-63,4
6,-63,4
6,-63,4
6,-63,3
6,-63,4
6,-63,4
7,-63,4
6,-63,4
6,-63,4
7,-63,4
8,-64,4
6,-63,4
5,-63,4
7,-63,4
6,-63,4
7,-63,5
6,-63,4
5,-63,4
5,-63,3
7,-64,5
7,-63,4
8,-63,5
6,-63,5
6,-63,4
7,-64,4
6,-63,4
6,-63,4
6,-63,4
5,-63,4
6,-63,4
7,-63,4
7,-64,4
5,-63,4
6,-63,4
8,-64,5
6,-63,4
6,-63,4
5,-63,3
5,-63,3
6,-64,4
7,-64,4
7,-64,3
9,-63,4
7,-63,3
11,-64,8
10,-63,5
1,-61,-2
4,-63,-1
6,-63,2
11,-62,7
11,-63,6
10,-63,5
10,-64,5
7,-62,5
9,-63,4
11,-64,6
11,-67,1
14,-72,-2
52,-107,-12
7,-71,10
12,-65,3
75,-87,-13
52,-68,6
43,-45,11
44,-33,12
38,-29,14
25,-21,23
33,-26,23
29,-31,23
30,-33,25
33,-39,28
35,-39,30
35,-35,32
37,-31,33
37,-30,32
38,-29,32
38,-29,32
40,-31,35
34,-30,31
32,-26,25
43,-24,27
44,-23,27
46,-22,29
53,-21,27
53,-20,28
54,-20,27
55,-18,27
57,-23,29
61,-27,33
60,-29,32
58,-29,30
55,-28,32
49,-25,33
50,-25,32
50,-26,34
46,-26,33
42,-21,31
48,-17,35
55,-21,39
42,-12,41
42,-15,39
42,-13,41
37,-16,38
28,-14,40
27,-13,40
20,-11,50
16,-13,58
51,-13,54
49,-9,55
38,-2,49
42,-5,47
47,-2,43
42,0,42
47,1,42
60,-5,40
54,-3,38
53,1,27
60,0,23
39,1,23
60,-1,21
62,-5,13
63,-7,16
59,-5,16
62,-6,7
60,-5,6
53,-1,-1
60,-1,-10
69,-4,-4
62,1,-5
74,-2,-12
67,2,-5
57,2,-10
57,2,-11
60,4,-11
61,1,-15
65,0,-17
60,2,-13
65,3,-13
61,0,-10
69,-1,-5
88,0,2
66,7,-2
61,1,14
71,-2,22
46,-3,13
46,0,27
61,-4,27
54,-1,33
32,-5,44
27,-4,45
60,-4,49
59,-8,47
45,-5,37
44,-3,38
37,-5,40
37,-4,42
47,-4,48
42,-2,41
37,-2,42
47,-2,49
45,-1,49
35,1,44
42,-2,47
46,1,49
38,1,47
42,2,47
42,6,49
39,5,46
41,5,46
43,5,47
39,3,47
42,5,47
43,5,48
42,4,46
41,4,45
43,2,46
46,3,47
43,3,44
40,2,41
45,0,40
43,2,40
42,-1,44
47,-1,44
47,0,41
48,1,39
46,2,43
53,1,40
52,3,40
48,2,39
46,0,40
48,1,41
46,2,40
47,2,41
50,4,39
49,3,39
48,2,39
47,2,38
45,2,39
51,2,42
51,2,41
46,3,39
47,3,40
51,4,40
49,4,40
46,4,38
48,4,39
47,5,39
48,4,39
49,2,39
47,3,38
47,3,39
48,2,39
48,2,39
51,3,37
48,2,38
50,3,39
49,3,40
49,2,39
49,2,38
48,2,36
48,-1,40
47,5,40
51,3,39
52,3,39
54,-1,43
49,1,41
46,0,36
41,-1,36
48,0,39
47,-2,40
50,-1,40
47,0,39
46,2,39
49,2,41
50,1,40
50,2,38
51,2,38
52,2,38
46,2,38
47,3,37
49,3,39
49,2,39
50,1,38
51,1,39
51,2,40
48,2,39
46,2,37
48,2,38
47,1,39
47,1,38
49,1,40
50,1,40
49,2,39
48,1,39
47,2,39
47,2,38
50,2,39
49,2,40
46,2,39
49,2,39
48,1,39
47,0,39
50,1,40
48,1,39
47,1,39
49,1,40
48,2,40
50,1,40
51,1,41
46,2,39
48,1,38
49,2,39
47,2,39
47,2,39
51,2,40
48,1,39
47,2,39
51,2,40
48,2,39
48,2,39
49,2,40
48,2,39
48,2,39
50,1,40
47,1,38
48,1,39
50,1,39
49,2,39
50,1,40
50,1,40
47,1,38
49,1,39
48,1,39
48,0,38
48,0,38
50,1,38
49,2,39
49,2,38
48,2,38
51,2,39
48,1,38
47,1,37
51,1,39
48,2,37
48,1,38
49,1,40
50,2,36
51,1,38
49,1,39
48,2,38
50,2,39
50,2,40
48,1,38
50,1,35
48,1,36
50,1,39
47,1,38
47,0,38
49,0,40
48,0,39
50,0,39
52,-1,40
49,-1,38
48,-1,39
46,-1,36
46,-2,37
48,-3,40
49,-2,41
49,-3,42
49,-2,42
48,-2,41
46,0,40
46,-1,40
49,-3,41
46,-2,40
47,-1,41
47,-1,40
47,0,39
47,1,38
50,0,39
50,1,38
47,-1,38
47,-2,39
49,-4,39
49,-4,40
48,-3,39
49,-1,40
48,-1,39
47,0,38
48,-1,39
50,-2,39
50,-2,39
50,-2,39
48,-2,39
48,-2,39
48,-3,38
47,-3,38
49,-2,39
49,-2,38
49,-2,38
49,-3,39
49,-3,39
48,-3,39
48,-3,39
49,-3,39
48,-3,39
48,-3,38
48,-3,39
48,-3,39
49,-3,39
48,-4,39
48,-3,39
48,-3,39
47,-3,39
48,-3,40
48,-3,40
48,-3,40
48,-3,39
48,-3,39
48,-3,39
49,-3,39
48,-3,40
48,-3,39
48,-3,39
48,-3,39
48,-3,39
48,-3,39
49,-3,39
48,-3,39
48,-3,39
48,-3,39
48,-3,39
48,-3,39
49,-3,39
49,-3,39
49,-3,39
48,-3,39
48,-3,38
48,-3,39
49,-3,39
48,-4,38
48,-3,39
49,-3,39
48,-3,38
48,-3,38
49,-3,39
50,-3,39
48,-3,38
47,-3,38
49,-3,38
50,-3,39
49,-3,39
49,-2,39
51,-3,39
49,-2,38
46,-3,38
46,-3,39
48,-3,38
48,-2,38
48,-3,38
49,-2,40
46,-3,39
48,-4,39
51,-2,39
55,0,45
48,-4,44
48,1,46
43,3,36
43,3,31
62,6,36
41,18,31
35,7,31
34,10,21
51,10,21
69,9,26
63,11,25
61,8,25
63,6,28
60,6,28
54,4,21
55,1,22
53,0,24
52,-1,24
55,-2,21
54,1,22
55,3,25
59,6,28
62,6,28
66,4,25
65,2,24
62,2,23
57,1,19
56,1,19
56,0,19
55,0,20
57,-2,21
58,-2,24
58,-1,24
56,0,24
56,0,23
58,1,23
58,1,22
58,1,21
58,2,21
58,2,21
60,1,21
60,1,21
59,0,21
59,0,21
59,0,21
58,-1,22
58,-1,22
58,-1,22
58,-1,22
58,-1,22
58,-2,21
59,-1,21
59,-1,21
58,-1,21
58,-1,21
59,-1,21
59,-1,21
59,-1,21
58,-1,21
58,-1,21
58,-1,21
58,-1,21
58,-1,21
58,-1,21
59,-1,21
59,-1,21
59,-1,21
59,-1,21
59,-1,21
58,-1,21
58,-1,21
59,-2,21
58,-2,22
58,-3,22
58,-4,21
57,-4,21
57,-4,21
58,-4,21
59,-4,22
58,-5,21
58,-4,22
59,-5,22
58,-4,21
57,-4,22
58,-3,22
58,-3,22
59,-3,22
59,-4,22
59,-3,21
59,-4,22
57,-3,21
57,-4,22
57,-4,23
57,-4,24
57,-5,24
57,-5,25
56,-5,25
56,-5,25
56,-4,24
57,-3,24
57,-3,23
57,-3,22
59,-2,22
59,-3,23
59,-3,23
58,-3,24
57,-3,24
56,-3,24
56,-3,23
58,-4,24
58,-4,23
58,-4,23
56,-5,23
56,-5,23
56,-5,23
57,-6,23
58,-6,23
57,-6,23
58,-6,23
57,-6,23
56,-6,23
57,-6,23
57,-6,22
57,-6,23
58,-7,23
58,-7,23
58,-6,24
58,-6,24
58,-6,24
59,-7,23
58,-7,24
56,-5,24
55,-5,24
55,-6,23
57,-5,22
58,-5,22
61,-4,23
61,-4,23
60,-3,22
60,-2,23
59,-3,23
57,0,22
58,0,23
55,1,26
58,1,25
57,-1,27
51,-1,30
52,-1,30
54,-2,30
53,-4,30
54,-6,34
46,-6,32
54,-7,49
37,-4,43
37,-4,40
46,-4,42
48,-3,44
48,-1,42
45,0,38
44,0,37
45,-1,40
44,-5,44
46,-4,43
45,-2,41
47,-3,43
47,-4,42
47,-3,42
45,-4,44
50,-4,46
45,-2,41
44,-2,38
45,-4,43
46,-4,45
45,-3,44
46,-4,44
44,-2,44
44,-4,42
47,-4,43
46,-4,44
46,1,47
44,-3,45
43,-2,42
45,-3,43
42,-1,44
44,-2,43
46,-3,44
42,-2,44
42,-2,44
46,-2,46
42,-1,43
43,1,49
45,0,47
43,-1,46
40,-2,46
40,-3,45
44,-2,47
40,-2,47
38,-1,45
45,-1,49
41,-2,45
40,5,50
40,-1,50
42,0,48
38,0,46
36,1,45
42,0,49
40,0,50
39,0,48
40,1,49
39,2,49
38,2,47
40,2,47
37,1,47
34,4,51
38,0,52
42,0,47
43,0,46
40,0,52
39,0,49
38,2,47
39,2,48
40,2,47
39,1,49
39,0,47
40,-2,38
31,-1,36
38,-4,39
59,-7,52
58,-7,64
53,-10,72
31,-6,66
0,16,61
23,21,43
26,21,36
24,20,33
30,20,35
44,15,41
43,14,44
44,11,49
42,11,51
36,11,51
32,11,55
31,10,55
26,9,55
28,8,58
28,8,57
28,7,58
29,6,60
30,4,59
